day,time,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
1,13:00:00,94.0,1006.0,294.03,light rain,110.0,3.0
1,14:00:00,94.0,1006.0,294.03534141,overcast clouds,110.0,3.0
1,15:00:00,94.0,1006.0,294.049702185,overcast clouds,111.0,3.0
1,16:00:00,94.0,1006.0,294.064062959,overcast clouds,111.0,3.0
1,17:00:00,94.0,1006.0,294.078423734,overcast clouds,112.0,3.0
1,18:00:00,94.0,1006.0,294.092784509,overcast clouds,113.0,3.0
1,19:00:00,94.0,1006.0,294.107145283,overcast clouds,114.0,3.0
1,20:00:00,94.0,1006.0,294.121506058,overcast clouds,115.0,3.0
1,21:00:00,94.0,1006.0,294.135866832,overcast clouds,116.0,3.0
1,22:00:00,94.0,1006.0,294.150227607,overcast clouds,116.0,3.0
1,23:00:00,94.0,1006.0,294.164588381,overcast clouds,117.0,3.0
2,00:00:00,94.0,1006.0,294.178949156,overcast clouds,118.0,3.0
2,01:00:00,94.0,1006.0,294.193309931,overcast clouds,119.0,3.0
2,02:00:00,94.0,1006.0,294.207670705,overcast clouds,120.0,3.0
2,03:00:00,94.0,1006.0,294.22203148,overcast clouds,120.0,3.0
2,04:00:00,94.0,1006.0,294.236392254,overcast clouds,121.0,3.0
2,05:00:00,94.0,1006.0,294.250753029,overcast clouds,122.0,3.0
2,06:00:00,94.0,1006.0,294.265113803,overcast clouds,123.0,3.0
2,07:00:00,94.0,1006.0,294.279474578,overcast clouds,124.0,3.0
2,08:00:00,94.0,1006.0,294.293835353,overcast clouds,125.0,3.0
2,09:00:00,94.0,1006.0,294.308196127,overcast clouds,125.0,3.0
2,10:00:00,94.0,1006.0,294.322556902,overcast clouds,126.0,4.0
2,11:00:00,94.0,1006.0,294.336917676,overcast clouds,127.0,4.0
2,12:00:00,94.0,1006.0,294.351278451,overcast clouds,128.0,4.0
2,13:00:00,94.0,1006.0,294.365639225,overcast clouds,129.0,4.0
2,14:00:00,94.0,1006.0,294.38,heavy intensity rain,130.0,4.0
2,15:00:00,94.0,1006.0,295.01,light rain,140.0,4.0
2,16:00:00,100.0,1005.0,295.04,moderate rain,150.0,6.0
2,17:00:00,88.0,1006.0,295.26,mist,150.0,8.0
2,18:00:00,94.0,1005.0,295.14,heavy intensity rain,190.0,2.0
2,19:00:00,94.0,1005.0,295.46,heavy intensity rain,170.0,3.0
2,20:00:00,94.0,1005.0,295.77,moderate rain,160.0,3.0
2,21:00:00,100.0,1004.0,296.28,overcast clouds,170.0,4.0
2,22:00:00,94.0,1004.0,295.97,moderate rain,150.0,2.0
2,23:00:00,94.0,1004.0,295.41,light intensity drizzle,170.0,3.0
3,00:00:00,94.0,1004.0,295.36,mist,170.0,3.0
3,01:00:00,88.0,1005.0,295.51,mist,170.0,3.0
3,02:00:00,94.0,1005.0,295.16,moderate rain,170.0,2.0
3,03:00:00,94.0,1005.0,295.21,mist,170.0,1.0
3,04:00:00,94.0,1005.0,295.1,light intensity drizzle,0.0,0.0
3,05:00:00,94.0,1005.0,294.93,mist,170.0,1.0
3,06:00:00,94.0,1005.0,295.04,mist,170.0,2.0
3,07:00:00,100.0,1005.0,294.12,overcast clouds,0.0,0.0
3,08:00:00,100.0,1005.0,294.07,overcast clouds,0.0,0.0
3,09:00:00,88.0,1006.0,293.51,overcast clouds,220.0,2.0
3,10:00:00,83.0,1006.0,292.65,overcast clouds,220.0,2.0
3,11:00:00,93.0,1007.0,292.06,scattered clouds,190.0,2.0
3,12:00:00,93.0,1008.0,291.6,broken clouds,190.0,2.0
3,13:00:00,88.0,1009.0,291.5,drizzle,190.0,2.0
3,14:00:00,77.0,1009.0,291.98,scattered clouds,210.0,4.0
3,15:00:00,72.0,1009.0,292.43,broken clouds,210.0,4.0
3,16:00:00,68.0,1010.0,292.88,broken clouds,210.0,4.0
